tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
prize,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
nottingham,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,6.62888203904e-05
wooden,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
neysa,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
clientele,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
straws,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
piling,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,6.62888203904e-05
circuitry,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
intensification,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
shouting,5.01429072858e-05,9.94332305857e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
succession,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
ultramarines,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
commented,3.34286048572e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,3.34286048572e-05,6.62888203904e-05
charter,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
maneuver,5.01429072858e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
fraulein,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
preface,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,0.000133714419429,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
stiffens,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
uldir,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
second,0.000150428721857,0.000364588512147,5.01429072858e-05,3.31444101952e-05,6.68572097144e-05,3.31444101952e-05,3.34286048572e-05,6.62888203904e-05
sustaining,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
sailed,8.35715121429e-05,9.94332305857e-05,5.01429072858e-05,0.000298299691757,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
scraped,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
snuggled,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
kreiner,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
blouse,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
admire,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
errors,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,0.000100285814572,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
dangled,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
whaling,1.67143024286e-05,6.62888203904e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
thunder,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
cooking,8.35715121429e-05,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05,0.000217285931572,3.31444101952e-05,5.01429072858e-05,3.31444101952e-05
contributed,6.68572097144e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,0.000117000117,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
fingers,5.01429072858e-05,0.000132577640781,3.34286048572e-05,6.62888203904e-05,3.34286048572e-05,3.31444101952e-05,5.01429072858e-05,6.62888203904e-05
carr,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
designing,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
notified,1.67143024286e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05,1.67143024286e-05,3.31444101952e-05
increasing,5.01429072858e-05,9.94332305857e-05,1.67143024286e-05,3.31444101952e-05,0.000200571629143,3.31444101952e-05,3.34286048572e-05,3.31444101952e-05
