tags,f1_c1,f1_c2,f2_c1,f2_c2,f3_c1,f3_c2,f4_c1,f4_c2
mj,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
suggestive,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
temperatures,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mr,2.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0
plunges,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
my,3.0,1.0,1.0,1.0,4.0,2.0,13.0,4.0
example,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
souring,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
shook,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
give,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
honey,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
authorities,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hardens,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
extraordinary,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
keep,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
attract,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
advancing,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
rescue,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
end,3.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0
stride,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
provide,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
travel,1.0,4.0,2.0,5.0,3.0,1.0,2.0,1.0
damage,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
how,5.0,16.0,1.0,1.0,1.0,1.0,2.0,1.0
enquire,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
answer,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
ercole,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
taverns,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
description,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
mess,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
after,5.0,1.0,5.0,1.0,3.0,1.0,2.0,1.0
indignity,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
loyalty,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jumping,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
lay,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
curiosity,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0
outbursts,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
law,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
arch,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
domed,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
inactivity,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
purchase,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
guerilla,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
attempt,2.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0
crevis,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
davies,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
preventive,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
order,5.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0
